artistName,trackName,sPlayed,count,genres,trackId,duration,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,kmeans
Avatar,Deeper Down,718,4,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'nu metal', 'swedish melodeath']",5sKHAHgvVxM5WnFEzHprtm,224600.0,0.494,1.26e-05,0.946,4.6e-06,0.251,0.472,-2.708,0.0524,100.467,6.0,4.0,2
Avatar,Queen of Blades,1700,8,"['alternative metal', 'gothenburg metal', 'melodic death metal', 'nu metal', 'swedish melodeath']",0vKuI0mgqwrOFtQ1VA529A,268573.0,0.507,2.65e-05,0.934,0.747,0.102,0.175,-4.084,0.06,120.085,8.0,4.0,2
Christopher Lee,The Siege,1289,4,"['comic metal', 'middle earth']",4bGZLUO3hA69ymt3lYtWup,429058.0,0.448,0.00491,0.779,0.234,0.0967,0.425,-9.288,0.0681,130.017,11.0,4.0,2
Christopher Lee,The Ultimate Sacrifice,1501,6,"['comic metal', 'middle earth']",4KiCucBxPPV5VFoTtpNyGC,309431.0,0.466,0.0049,0.874,0.000239,0.408,0.177,-7.732,0.0808,99.968,3.0,4.0,2
Daron Malakian and Scars On Broadway,They Say,588,6,"['alternative metal', 'nu metal']",297lTBnCfkMyqzCfDCpqn6,167973.0,0.469,0.00162,0.991,1.43e-06,0.0826,0.46,-1.275,0.0475,139.765,1.0,4.0,2
Diablo Swing Orchestra,Balrog Boogie,3805,22,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",65RptVLH4KdgCeEAuPS8WY,233133.0,0.572,0.00384,0.924,0.0637,0.69,0.331,-5.717,0.0538,90.573,6.0,4.0,2
Diablo Swing Orchestra,Heroines,3097,11,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",7CNyG934XWPTmeGRgYGxvc,322560.0,0.653,0.00309,0.881,0.044,0.079,0.572,-6.109,0.0495,126.922,1.0,4.0,2
Diablo Swing Orchestra,Porcelain Judas,1261,6,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",5rLt0fSdmHnbM8ReaV4Ozm,249133.0,0.541,0.00015,0.929,0.000559,0.0625,0.665,-5.172,0.0469,100.799,5.0,4.0,2
Diablo Swing Orchestra,Velvet Embracer,3539,19,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",6M0DAjlqZ58m5KltGj98KJ,245400.0,0.466,0.000598,0.915,0.00936,0.121,0.246,-5.376,0.077,65.588,7.0,4.0,2
Diablo Swing Orchestra,Wedding March For A Bullet,1538,9,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",3vci4XobgpCBYSrA9emlK7,193733.0,0.575,0.000176,0.965,6.46e-05,0.157,0.432,-5.074,0.0704,114.731,6.0,4.0,2
Diablo Swing Orchestra,Zodiac Virtues,2084,8,"['jazz metal', 'opera metal', 'steampunk', 'swedish metal', 'symphonic metal']",1zfTRzaWfWNeb4hiyeHwmp,287533.0,0.632,0.00245,0.932,0.0153,0.117,0.591,-5.885,0.0363,112.937,9.0,4.0,2
Dio,Rainbow In The Dark,1008,4,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'metal', 'power metal', 'rock']",5qFxuUIAwJlzO60vqOiL7y,252693.0,0.508,7.06e-05,0.912,0.403,0.0492,0.682,-8.049,0.0368,117.582,9.0,4.0,2
Gojira,Sphinx,2475,12,"['alternative metal', 'french death metal', 'french metal', 'metal', 'nu metal', 'progressive groove metal']",6PhrbFbRW3Cchrv6klsLF5,240358.0,0.472,0.000101,0.915,0.714,0.133,0.337,-4.844,0.0401,97.015,2.0,4.0,2
Gojira,The Chant,3633,12,"['alternative metal', 'french death metal', 'french metal', 'metal', 'nu metal', 'progressive groove metal']",41DA32rbYp3PoLCAJeup0J,312751.0,0.494,1.74e-05,0.874,0.0621,0.0873,0.485,-3.831,0.031,124.064,8.0,4.0,2
Gojira,The Trails,2166,9,"['alternative metal', 'french death metal', 'french metal', 'metal', 'nu metal', 'progressive groove metal']",3w3Niv9YyqdPAdFsnu3Hj8,247286.0,0.624,0.039,0.784,0.2,0.182,0.151,-6.877,0.0306,126.007,9.0,4.0,2
Igorrr,Camel Dancefloor,508,4,"['avant-garde metal', 'breakcore', 'cybergrind', 'french metal', 'opera metal']",6QN0mXlZOwfQoFs5yu55Pg,193066.0,0.525,0.00135,0.89,0.813,0.0822,0.604,-4.222,0.0557,160.083,2.0,4.0,2
Igorrr,Houmous,911,7,"['avant-garde metal', 'breakcore', 'cybergrind', 'french metal', 'opera metal']",0Zy1tSVAQ8pIugxsEbeAar,211565.0,0.653,0.0139,0.83,0.692,0.0737,0.661,-6.867,0.0819,114.793,6.0,4.0,2
Insomnium,Heart Like a Grave,2550,6,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal']",0m8RhhXiCagyqOpu9gFI6h,425144.0,0.458,0.00652,0.908,0.141,0.068,0.0398,-8.728,0.0589,120.013,0.0,4.0,2
Insomnium,The Primeval Dark,1207,9,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal']",4Uq3fEihBEjzWX4KVYCZ8Q,196986.0,0.446,2.94e-06,0.878,0.934,0.62,0.206,-6.261,0.047,110.028,7.0,4.0,2
Insomnium,The Promethean Song,4676,14,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal']",7d7aRxIsk68Rfl5bgD21WG,401213.0,0.467,0.000135,0.841,0.305,0.637,0.169,-6.889,0.036,117.041,2.0,4.0,2
Insomnium,The Reticent,1851,7,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal']",07PFzxEUNcMIwghKcrFGgF,272616.0,0.498,0.000165,0.833,0.0497,0.123,0.121,-8.872,0.0405,117.962,7.0,4.0,2
Insomnium,While We Sleep,4232,15,"['finnish death metal', 'finnish melodeath', 'finnish metal', 'melodic death metal', 'metal']",64VLqyvVCCAXyqKCqs40z8,380613.0,0.46,2.39e-06,0.982,0.797,0.37,0.267,-5.488,0.0601,112.507,2.0,4.0,2
Iron Maiden,2 Minutes to Midnight - 2015 Remaster,3690,12,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",2SrVGpjv0mqCR6j9EZPSm2,363586.0,0.446,0.00754,0.97,0.000275,0.199,0.595,-5.004,0.0508,94.233,9.0,4.0,2
Iron Maiden,The Man of Sorrows,1548,4,"['album rock', 'hard rock', 'metal', 'nwobhm', 'rock']",6ghkCWKk438MyEbOr9Nrrq,387542.0,0.441,0.0242,0.78,6.34e-05,0.23,0.291,-5.488,0.0418,110.18,2.0,4.0,2
Korn,Coming Undone,1194,6,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",6p2liQLGoDaLXgND68bfVt,199773.0,0.687,0.000658,0.677,0.000146,0.0564,0.546,-4.172,0.0508,75.052,2.0,4.0,2
Korn,Evolution,14514,73,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",3iLCPsQR9oBdJU05N1H1EA,217506.0,0.651,0.0621,0.886,0.019,0.239,0.538,-4.925,0.0547,102.93,3.0,4.0,2
Korn,Got the Life,753,4,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",6nJPHXRpKYv2yqtalEjKy5,225306.0,0.501,1.88e-05,0.905,0.765,0.383,0.584,-5.721,0.0518,123.277,11.0,4.0,2
Korn,Twisted Transistor,518,8,"['alternative metal', 'funk metal', 'nu metal', 'rap metal', 'rock']",77VW8u6inET54YAKN1RSnd,188933.0,0.58,0.00043,0.983,0.00694,0.0801,0.416,-3.291,0.0636,110.053,5.0,4.0,2
Metallica,Enter Sandman,3844,16,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",5sICkBXVmaCQk5aISGR3x1,331266.0,0.577,0.00213,0.828,0.0114,0.0581,0.604,-8.691,0.0298,123.257,6.0,4.0,2
Metallica,Master Of Puppets,3259,9,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",2MuWTIM3b0YEAskbeeFE1i,515386.0,0.543,0.000647,0.836,0.431,0.153,0.56,-9.11,0.0353,105.173,4.0,4.0,2
Metallica,Sad But True,1292,4,"['hard rock', 'metal', 'old school thrash', 'rock', 'thrash metal']",1PhLYngBKbeDtdmDzCg3Pb,323933.0,0.633,0.000819,0.846,0.00139,0.0762,0.448,-6.347,0.0337,89.23,7.0,4.0,2
Miracle Of Sound,Hell to Pay,469,5,"['antiviral pop', 'comic', 'irish metal', 'otacore', 'video game music']",7wzA2KgMuSIFXajk8lRoNd,195933.0,0.585,0.000851,0.942,0.00865,0.23,0.274,-6.294,0.0665,102.537,6.0,4.0,2
Miracle Of Sound,Wake the White Wolf,904,4,"['antiviral pop', 'comic', 'irish metal', 'otacore', 'video game music']",0clLkj1AMdB66TpLHZnazR,226659.0,0.459,0.131,0.814,0.0,0.039,0.277,-5.469,0.0436,159.17,7.0,4.0,2
Rammstein,AUSLÄNDER,1848,8,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",7j43FohbLVulScL7S9sQZk,231603.0,0.681,0.000757,0.912,0.00136,0.359,0.479,-4.159,0.0912,125.031,0.0,4.0,2
Rammstein,DEUTSCHLAND,6060,21,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",2bPGTMB5sFfFYQ2YvSmup0,322339.0,0.521,5.54e-05,0.895,0.349,0.0985,0.237,-5.242,0.0442,120.117,7.0,4.0,2
Rammstein,Du hast,3764,17,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",5awDvzxWfd53SSrsRZ8pXO,234226.0,0.64,0.00369,0.922,0.055,0.332,0.716,-6.283,0.0385,125.105,9.0,4.0,2
Rammstein,Du riechst so gut,1799,7,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",1hNE737dkYD9ZM1J8H9chv,289266.0,0.67,0.000358,0.755,0.244,0.344,0.813,-7.416,0.031,111.984,3.0,4.0,2
Rammstein,Engel,2163,9,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",0xrkyEMkG4dVa5OMLQZOX8,264266.0,0.637,0.00918,0.658,0.00229,0.295,0.328,-5.775,0.0291,96.072,2.0,4.0,2
Rammstein,Feuer frei!,1128,6,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",5aNH8inF5BsbThDeOLs7zs,188600.0,0.491,9.12e-05,0.966,0.346,0.153,0.223,-3.974,0.0463,95.141,3.0,4.0,2
Rammstein,Ich will,1519,7,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",3X0K6fII7VIwL1URPrp8Ko,217106.0,0.648,0.00138,0.896,0.000819,0.0879,0.468,-4.254,0.041,128.115,2.0,4.0,2
Rammstein,KEINE LUST,696,4,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",7eeDeUM9E7b0vkDfRz20Zt,222933.0,0.534,0.000256,0.892,0.0137,0.232,0.28,-4.877,0.0537,137.941,5.0,4.0,2
Rammstein,Mein Herz brennt,1962,8,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",5ArNGisLzrNOIVwWajRRdt,279893.0,0.501,0.00268,0.76,0.0616,0.152,0.138,-5.802,0.0343,83.046,2.0,4.0,2
Rammstein,RADIO,1282,5,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",5vZ4IeUenK2cHub2d7yfWk,277397.0,0.652,0.00404,0.894,0.00381,0.124,0.76,-5.145,0.0409,132.03,0.0,4.0,2
Rammstein,Sonne,2997,12,"['alternative metal', 'german metal', 'industrial', 'industrial metal', 'industrial rock', 'neue deutsche harte', 'nu metal']",3gVhsZtseYtY1fMuyYq06F,272440.0,0.51,0.0054,0.917,0.000133,0.396,0.313,-4.806,0.0854,75.098,4.0,4.0,2
Soen,Deceiver,819,4,"['alternative metal', 'progressive metal', 'swedish progressive metal']",5kbsAQKQBt6MqmFXg5eQEm,273547.0,0.566,0.00403,0.944,0.000249,0.194,0.247,-5.803,0.0604,105.015,9.0,4.0,2
Stone Sour,Through Glass,573,4,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock', 'rock']",5NeIONQWJ25uPylJBJiO4c,282946.0,0.545,0.0417,0.753,0.0,0.389,0.434,-4.618,0.036,105.754,3.0,4.0,2
TesseracT,Juno,936,4,"['djent', 'progressive metal']",1xj9Mdr9jtBpRA6WqqMYbn,312788.0,0.588,0.00656,0.897,0.0102,0.139,0.264,-6.353,0.0484,108.006,5.0,3.0,2
